Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
5539265.0,GPT-4,1154,11,1165,API log
5539265.0,GPT-4,1458,11,1469,API log
5539265.0,GPT-4,1164,22,1186,API log
5539265.0,GPT-4,1322,11,1333,API log
5539265.0,GPT-4,1556,23,1579,API log
5539265.0,GPT-4,1145,49,1194,API log
5539265.0,GPT-4,1496,24,1520,API log
5539265.0,GPT-4,1234,11,1245,API log
5539265.0,GPT-4,1729,25,1754,API log
5539276.0,GPT-4,1307,11,1318,API log
5539276.0,GPT-4,2214,11,2225,API log
5539276.0,GPT-4,1538,24,1562,API log
5539276.0,GPT-4,1532,48,1580,API log
5539276.0,GPT-4,1187,24,1211,API log
5539276.0,GPT-4,1358,25,1383,API log
5539276.0,GPT-4,1261,11,1272,API log
5539276.0,GPT-4,2194,35,2229,API log
5539276.0,GPT-4,1527,11,1538,API log
5539276.0,GPT-4,1274,24,1298,API log
5539286.0,GPT-4,2184,11,2195,API log
5539286.0,GPT-4,1304,12,1316,API log
5539286.0,GPT-4,1167,21,1188,API log
5539286.0,GPT-4,1451,11,1462,API log
5539286.0,GPT-4,1245,21,1266,API log
5539286.0,GPT-4,813,11,824,API log
5539286.0,GPT-4,1149,23,1172,API log
5539286.0,GPT-4,1273,11,1284,API log
5539286.0,GPT-4,1771,35,1806,API log
5539286.0,GPT-4,1132,11,1143,API log
5539291.0,GPT-4,800,460,1260,API log
5539291.0,GPT-4,632,358,990,API log
5539293.0,GPT-4,1203,11,1214,API log
5539293.0,GPT-4,1355,11,1366,API log
5539293.0,GPT-4,1199,11,1210,API log
5539293.0,GPT-4,1393,11,1404,API log
5539293.0,GPT-4,1509,37,1546,API log
5539293.0,GPT-4,1414,23,1437,API log
5539293.0,GPT-4,1148,11,1159,API log
5539293.0,GPT-4,1408,21,1429,API log
5539293.0,GPT-4,1474,11,1485,API log
5539293.0,GPT-4,1093,11,1104,API log
5539308.0,GPT-4,1070,21,1091,API log
5539308.0,GPT-4,1986,36,2022,API log
5539326.0,GPT-4,979,417,1396,API log
5539326.0,GPT-4,1943,326,2269,API log
5539326.0,GPT-4,1063,295,1358,API log
5539326.0,GPT-4,1902,378,2280,API log
5539326.0,GPT-4,1461,357,1818,API log
5539326.0,GPT-4,1079,282,1361,API log
5539326.0,GPT-4,1445,244,1689,API log
5539326.0,GPT-4,1108,253,1361,API log
5539326.0,GPT-4,1162,520,1682,API log
5539326.0,GPT-4,1708,376,2084,API log
5539351.0,GPT-4,632,319,951,API log
5539381.0,GPT-4,1346,275,1621,API log
5539381.0,GPT-4,959,349,1308,API log
5539381.0,GPT-4,1332,302,1634,API log
5539381.0,GPT-4,1397,163,1560,API log
5539381.0,GPT-4,1948,349,2297,API log
5539381.0,GPT-4,833,453,1286,API log
5539381.0,GPT-4,1516,347,1863,API log
5539381.0,GPT-4,1041,243,1284,API log
5539381.0,GPT-4,2045,245,2290,API log
5539381.0,GPT-4,1100,256,1356,API log
5539397.0,GPT-4,934,374,1308,API log
5539397.0,GPT-4,620,315,935,API log
5539397.0,GPT-4,958,300,1258,API log
5539397.0,GPT-4,809,270,1079,API log
5539397.0,GPT-4,998,529,1527,API log
5539397.0,GPT-4,804,163,967,API log
5539397.0,GPT-4,1417,498,1915,API log
5539397.0,GPT-4,995,265,1260,API log
5539397.0,GPT-4,907,480,1387,API log
5539397.0,GPT-4,1189,267,1456,API log
5539441.0,GPT-4,959,230,1189,API log
5539457.0,GPT-4,998,328,1326,API log
5539462.0,GPT-4,1385,350,1735,API log
5539462.0,GPT-4,1451,411,1862,API log
5539462.0,GPT-4,1306,371,1677,API log
5539462.0,GPT-4,1270,378,1648,API log
5539462.0,GPT-4,1154,283,1437,API log
5539462.0,GPT-4,1125,554,1679,API log
5539462.0,GPT-4,1115,370,1485,API log
5539462.0,GPT-4,1164,361,1525,API log
5539462.0,GPT-4,1391,380,1771,API log
5539462.0,GPT-4,1018,300,1318,API log
5539481.0,GPT-4,920,551,1471,API log
5539481.0,GPT-4,740,511,1251,API log
5539481.0,GPT-4,974,461,1435,API log
5539481.0,GPT-4,808,343,1151,API log
5539481.0,GPT-4,1148,352,1500,API log
5539481.0,GPT-4,749,105,854,API log
5539481.0,GPT-4,626,432,1058,API log
5539481.0,GPT-4,750,301,1051,API log
5539481.0,GPT-4,1013,388,1401,API log
5539481.0,GPT-4,845,381,1226,API log
5539522.0,GPT-4,1391,376,1767,API log
5539522.0,GPT-4,1125,421,1546,API log
5539522.0,GPT-4,1385,331,1716,API log
5539541.0,GPT-4,1148,357,1505,API log
5539541.0,GPT-4,740,427,1167,API log
5539541.0,GPT-4,845,728,1573,API log
5539582.0,GPT-4,1385,242,1627,API log
5539599.0,GPT-4,1235,248,1483,API log
5539599.0,GPT-4,1436,176,1612,API log
5539599.0,GPT-4,1049,147,1196,API log
5539599.0,GPT-4,814,304,1118,API log
5539599.0,GPT-4,1122,234,1356,API log
5539599.0,GPT-4,1421,157,1578,API log
5539599.0,GPT-4,1161,64,1225,API log
5539599.0,GPT-4,2078,227,2305,API log
5539599.0,GPT-4,1528,242,1770,API log
5539601.0,GPT-4,845,238,1083,API log
5539618.0,GPT-4,796,352,1148,API log
5539619.0,GPT-4,768,215,983,API log
5539619.0,GPT-4,887,372,1259,API log
5539619.0,GPT-4,787,161,948,API log
5539619.0,GPT-4,847,323,1170,API log
5539619.0,GPT-4,906,397,1303,API log
5539619.0,GPT-4,690,280,970,API log
5539619.0,GPT-4,957,324,1281,API log
5539619.0,GPT-4,599,279,878,API log
5539619.0,GPT-4,800,328,1128,API log
5539648.0,GPT-4,893,335,1228,API log
5539648.0,GPT-4,1132,219,1351,API log
5539648.0,GPT-4,867,428,1295,API log
5539648.0,GPT-4,1042,158,1200,API log
5539648.0,GPT-4,537,205,742,API log
5539648.0,GPT-4,972,436,1408,API log
5539648.0,GPT-4,910,174,1084,API log
5539648.0,GPT-4,846,421,1267,API log
5539648.0,GPT-4,766,362,1128,API log
5539648.0,GPT-4,867,407,1274,API log
5539659.0,GPT-4,1381,462,1843,API log
5539698.0,GPT-4,1479,229,1708,API log
5539698.0,GPT-4,1334,415,1749,API log
5539698.0,GPT-4,1366,327,1693,API log
5539698.0,GPT-4,1157,398,1555,API log
5539698.0,GPT-4,1468,218,1686,API log
5539698.0,GPT-4,1439,397,1836,API log
5539698.0,GPT-4,1098,252,1350,API log
5539698.0,GPT-4,1360,366,1726,API log
5539698.0,GPT-4,1863,374,2237,API log
5539698.0,GPT-4,1404,349,1753,API log
5539708.0,GPT-4,972,321,1293,API log
5539708.0,GPT-4,867,138,1005,API log
5539708.0,GPT-4,867,398,1265,API log
5539734.0,GPT-4,859,102,961,API log
5539734.0,GPT-4,1108,500,1608,API log
5539734.0,GPT-4,747,326,1073,API log
5539734.0,GPT-4,756,427,1183,API log
5539734.0,GPT-4,934,393,1327,API log
5539734.0,GPT-4,744,345,1089,API log
5539734.0,GPT-4,936,321,1257,API log
5539734.0,GPT-4,807,398,1205,API log
5539734.0,GPT-4,1152,446,1598,API log
5539734.0,GPT-4,1355,167,1522,API log
5539734.0,GPT-4,890,221,1111,API log
5539734.0,GPT-4,1019,389,1408,API log
5539742.0,GPT-4,821,403,1224,API log
5539742.0,GPT-4,1391,394,1785,API log
5539742.0,GPT-4,1015,354,1369,API log
5539742.0,GPT-4,1270,277,1547,API log
5539742.0,GPT-4,1367,467,1834,API log
5539742.0,GPT-4,994,217,1211,API log
5539742.0,GPT-4,1333,297,1630,API log
5539742.0,GPT-4,952,452,1404,API log
5539789.0,GPT-4,1031,392,1423,API log
5539789.0,GPT-4,959,500,1459,API log
5539789.0,GPT-4,306,272,578,API log
5539789.0,GPT-4,1184,450,1634,API log
5539789.0,GPT-4,1255,655,1910,API log
5539789.0,GPT-4,791,414,1205,API log
5539789.0,GPT-4,672,416,1088,API log
5539789.0,GPT-4,891,362,1253,API log
5539789.0,GPT-4,448,126,574,API log
5539789.0,GPT-4,742,434,1176,API log
5539802.0,GPT-4,1391,290,1681,API log
5539802.0,GPT-4,1367,282,1649,API log
5539849.0,GPT-4,742,144,886,API log
5539849.0,GPT-4,672,340,1012,API log
5539849.0,GPT-4,891,305,1196,API log
5539849.0,GPT-4,959,574,1533,API log
5539849.0,GPT-4,306,312,618,API log
5539849.0,GPT-4,1184,554,1738,API log
5539849.0,GPT-4,1255,431,1686,API log
5539856.0,GPT-4,2135,437,2572,API log
5539856.0,GPT-4,1146,300,1446,API log
5539856.0,GPT-4,1072,384,1456,API log
5539856.0,GPT-4,870,181,1051,API log
5539856.0,GPT-4,1725,160,1885,API log
5539856.0,GPT-4,1329,221,1550,API log
5539856.0,GPT-4,1250,425,1675,API log
5539856.0,GPT-4,1102,450,1552,API log
5539856.0,GPT-4,1476,202,1678,API log
5539856.0,GPT-4,660,412,1072,API log
5539909.0,GPT-4,959,461,1420,API log
