local_idx,full_window_idx,source_csv_idx,timestamp,native_time_s,replay_time_s,interarrival_replay_s,input_tokens,output_tokens,total_tokens
52,205,474192,5539242.000,227.000000,50.782998,2.237136,1015,11,1026
53,209,474199,5539242.000,227.000000,50.782998,0.000000,2187,22,2209
54,214,474204,5539242.000,227.000000,50.782998,0.000000,2033,11,2044
55,215,474249,5539260.000,245.000000,54.809843,4.026846,1788,23,1811
56,221,474257,5539260.000,245.000000,54.809843,0.000000,1194,36,1230
57,224,474261,5539260.000,245.000000,54.809843,0.000000,1298,11,1309
58,226,474275,5539265.000,250.000000,55.928412,1.118568,1154,11,1165
59,228,474277,5539265.000,250.000000,55.928412,0.000000,1164,22,1186
60,231,474280,5539265.000,250.000000,55.928412,0.000000,1145,49,1194
61,237,474317,5539276.000,261.000000,58.389262,2.460850,1538,24,1562
62,249,474346,5539286.000,271.000000,60.626398,2.237136,1245,21,1266
63,254,474352,5539286.000,271.000000,60.626398,0.000000,1132,11,1143
64,255,474360,5539291.000,276.000000,61.744966,1.118568,800,460,1260
65,256,474361,5539291.000,276.000000,61.744966,0.000000,632,358,990
66,260,474369,5539293.000,278.000000,62.192394,0.447427,1393,11,1404
67,264,474374,5539293.000,278.000000,62.192394,0.000000,1408,21,1429
68,266,474376,5539293.000,278.000000,62.192394,0.000000,1093,11,1104
69,267,474396,5539308.000,293.000000,65.548098,3.355705,1070,21,1091
70,271,474424,5539326.000,311.000000,69.574944,4.026846,1063,295,1358
71,279,474454,5539351.000,336.000000,75.167785,5.592841,632,319,951
72,281,474479,5539381.000,366.000000,81.879195,6.711409,959,349,1308
73,285,474483,5539381.000,366.000000,81.879195,0.000000,833,453,1286
74,295,474509,5539397.000,382.000000,85.458613,3.579418,804,163,967
75,298,474512,5539397.000,382.000000,85.458613,0.000000,907,480,1387
76,299,474513,5539397.000,382.000000,85.458613,0.000000,1189,267,1456
77,300,474550,5539441.000,426.000000,95.302013,9.843400,959,230,1189
78,304,474579,5539462.000,447.000000,100.000000,4.697987,1306,371,1677
79,305,474580,5539462.000,447.000000,100.000000,0.000000,1270,378,1648
80,312,474619,5539481.000,466.000000,104.250559,4.250559,920,551,1471
81,318,474625,5539481.000,466.000000,104.250559,0.000000,626,432,1058
82,321,474629,5539481.000,466.000000,104.250559,0.000000,845,381,1226
83,324,474704,5539522.000,507.000000,113.422819,9.172260,1385,331,1716
84,328,474816,5539582.000,567.000000,126.845638,13.422819,1385,242,1627
85,334,474854,5539599.000,584.000000,130.648770,3.803132,1421,157,1578
86,335,474856,5539599.000,584.000000,130.648770,0.000000,1161,64,1225
87,338,474862,5539601.000,586.000000,131.096197,0.447427,845,238,1083
88,340,474894,5539619.000,604.000000,135.123043,4.026846,768,215,983
89,341,474895,5539619.000,604.000000,135.123043,0.000000,887,372,1259
90,350,474958,5539648.000,633.000000,141.610738,6.487696,1132,219,1351
91,352,474961,5539648.000,633.000000,141.610738,0.000000,1042,158,1200
92,356,474965,5539648.000,633.000000,141.610738,0.000000,846,421,1267
93,368,475066,5539698.000,683.000000,152.796421,11.185682,1863,374,2237
94,371,475089,5539708.000,693.000000,155.033557,2.237136,867,138,1005
95,374,475139,5539734.000,719.000000,160.850112,5.816555,1108,500,1608
96,376,475141,5539734.000,719.000000,160.850112,0.000000,756,427,1183
97,383,475148,5539734.000,719.000000,160.850112,0.000000,890,221,1111
98,384,475149,5539734.000,719.000000,160.850112,0.000000,1019,389,1408
99,386,475166,5539742.000,727.000000,162.639821,1.789709,1391,394,1785
100,389,475170,5539742.000,727.000000,162.639821,0.000000,1367,467,1834
101,397,475258,5539789.000,774.000000,173.154362,10.514541,1255,655,1910
102,398,475259,5539789.000,774.000000,173.154362,0.000000,791,414,1205
103,404,475289,5539802.000,787.000000,176.062640,2.908277,1367,282,1649
104,406,475363,5539849.000,834.000000,186.577181,10.514541,672,340,1012
105,408,475365,5539849.000,834.000000,186.577181,0.000000,959,574,1533
106,418,475385,5539856.000,841.000000,188.143177,1.565996,1250,425,1675
107,421,475388,5539856.000,841.000000,188.143177,0.000000,660,412,1072
108,422,475485,5539909.000,894.000000,200.000000,11.856823,959,461,1420
